Date,Open,High,Low,Close,AdjClose,Volume
2019-05-31,5.100000,5.180000,5.080000,5.100000,4.941388,2995096
2019-06-03,5.040000,5.100000,5.000000,5.060000,4.902632,1801000
2019-06-04,5.060000,5.090000,4.980000,4.990000,4.834808,3353833
2019-06-05,5.050000,5.070000,5.010000,5.030000,4.873565,2246972
2019-06-06,5.060000,5.080000,4.980000,5.000000,4.844498,1678000
2019-06-10,5.000000,5.230000,4.980000,5.120000,4.960765,4107459
2019-06-11,5.220000,5.280000,5.050000,5.250000,5.086723,3348985
2019-06-12,5.150000,5.250000,5.110000,5.140000,4.980144,1839904
2019-06-13,5.110000,5.200000,5.040000,5.150000,4.989833,1465000
2019-06-14,5.190000,5.190000,5.040000,5.100000,4.941388,2226928
2019-06-17,5.100000,5.230000,5.100000,5.150000,4.989833,2217712
2019-06-18,5.120000,5.210000,5.120000,5.160000,4.999522,1666150
2019-06-19,5.270000,5.450000,5.240000,5.410000,5.241746,5074200
2019-06-20,5.470000,5.550000,5.440000,5.480000,5.309569,5600400
2019-06-21,5.480000,5.730000,5.480000,5.570000,5.396770,8997412
2019-06-24,5.680000,5.680000,5.390000,5.450000,5.280502,1816166
2019-06-25,5.450000,5.530000,5.280000,5.320000,5.154546,2999965
2019-06-26,5.280000,5.480000,5.270000,5.430000,5.261125,2552437
2019-06-27,5.390000,5.510000,5.390000,5.490000,5.319258,2961159
2019-06-28,5.530000,5.540000,5.410000,5.470000,5.299881,2173016
2019-07-02,5.500000,5.880000,5.500000,5.630000,5.454905,9515477
2019-07-03,5.600000,5.770000,5.490000,5.540000,5.367703,2833000
2019-07-04,5.620000,5.620000,5.540000,5.580000,5.406459,1332000
2019-07-05,5.580000,5.580000,5.410000,5.460000,5.290192,2297200
2019-07-08,5.460000,5.560000,5.250000,5.320000,5.154546,4662739
2019-07-09,5.270000,5.310000,5.220000,5.240000,5.077034,1834700
2019-07-10,5.330000,5.370000,5.270000,5.280000,5.115790,1339000
2019-07-11,5.370000,5.390000,5.240000,5.310000,5.144856,1465830
2019-07-12,5.330000,5.330000,5.210000,5.230000,5.067345,1797000
2019-07-15,5.270000,5.280000,5.170000,5.250000,5.086723,1544199
2019-07-16,5.310000,5.350000,5.210000,5.250000,5.086723,2436590
2019-07-17,5.250000,5.320000,5.180000,5.210000,5.047966,2296000
2019-07-18,5.210000,5.230000,5.160000,5.170000,5.009211,1848000
2019-07-19,5.170000,5.250000,5.120000,5.160000,4.999522,1632000
2019-07-22,5.250000,5.250000,5.120000,5.180000,5.018899,1431526
2019-07-23,5.170000,5.220000,5.120000,5.140000,4.980144,1295000
2019-07-24,5.130000,5.240000,5.110000,5.160000,4.999522,2012000
2019-07-25,5.120000,5.140000,5.080000,5.100000,4.941388,2009203
2019-07-26,5.100000,5.140000,4.960000,5.020000,4.863876,3281058
2019-07-29,5.070000,5.070000,4.990000,5.010000,4.854187,1380301
2019-07-30,4.960000,5.010000,4.910000,4.950000,4.796052,5663250
2019-07-31,4.910000,4.930000,4.760000,4.810000,4.660407,5595083
2019-08-01,4.750000,4.820000,4.580000,4.720000,4.573205,7345377
2019-08-02,4.590000,4.640000,4.500000,4.510000,4.369737,7303000
2019-08-05,4.480000,4.480000,4.250000,4.290000,4.156579,6897962
2019-08-06,4.220000,4.220000,4.070000,4.160000,4.030622,7334763
2019-08-07,4.200000,4.210000,4.100000,4.110000,3.982177,3968218
2019-08-08,4.140000,4.290000,4.140000,4.250000,4.117823,2987377
2019-08-09,4.310000,4.340000,4.220000,4.220000,4.088756,1834058
2019-08-12,4.200000,4.220000,4.070000,4.070000,3.943421,2183004
2019-08-13,4.070000,4.070000,3.970000,4.010000,3.885288,6829766
2019-08-14,4.020000,4.190000,4.020000,4.080000,3.953110,8425490
2019-08-15,3.970000,4.150000,3.960000,4.120000,3.991866,8089848
2019-08-16,4.180000,4.190000,4.120000,4.120000,3.991866,3622000
2019-08-19,4.140000,4.210000,4.110000,4.150000,4.020933,3427234
2019-08-20,4.130000,4.220000,4.080000,4.140000,4.011244,3764000
2019-08-21,4.140000,4.150000,4.060000,4.100000,3.972488,4015176
2019-08-22,4.160000,4.270000,4.090000,4.180000,4.050000,4418733
2019-08-23,4.150000,4.240000,4.080000,4.180000,4.050000,3811266
2019-08-26,4.000000,4.020000,3.930000,3.980000,3.980000,5014621
2019-08-27,3.970000,4.090000,3.940000,4.090000,4.090000,7263760
2019-08-28,4.060000,4.090000,4.010000,4.070000,4.070000,4076836
2019-08-29,4.040000,4.120000,4.030000,4.100000,4.100000,2285867
2019-08-30,4.100000,4.280000,4.100000,4.150000,4.150000,4151582
2019-09-02,4.110000,4.380000,4.110000,4.320000,4.320000,4992400
2019-09-03,4.330000,4.410000,4.230000,4.230000,4.230000,5385962
2019-09-04,4.240000,4.270000,4.070000,4.210000,4.210000,6010892
2019-09-05,4.240000,4.320000,4.200000,4.290000,4.290000,5615000
2019-09-06,4.330000,4.370000,4.280000,4.350000,4.350000,2674455
2019-09-09,4.340000,4.420000,4.280000,4.300000,4.300000,1869981
2019-09-10,4.280000,4.350000,4.280000,4.330000,4.330000,2711145
2019-09-11,4.360000,4.680000,4.320000,4.680000,4.680000,7916000
2019-09-12,4.730000,4.770000,4.600000,4.640000,4.640000,4495000
2019-09-13,4.700000,4.780000,4.620000,4.690000,4.690000,8195700
2019-09-16,4.680000,4.690000,4.550000,4.640000,4.640000,4731274
2019-09-17,4.660000,4.680000,4.490000,4.520000,4.520000,5737000
2019-09-18,4.500000,4.580000,4.500000,4.530000,4.530000,3447685
